import time: self [us] | cumulative | imported package
import time:      1275 |       2904 |                                           importlib.resources._common
import time:       589 |        589 |                                           importlib.resources._legacy
import time:      1025 |       4517 |                                         importlib.resources
import time:        26 |       4542 |                                       importlib.resources.abc
import time:      1742 |       6284 |                                     importlib.abc
import time:      5518 |      33038 |                                   importlib.metadata
import time:     11254 |      44291 |                                 torch.utils._pytree
import time:      1215 |      45506 |                               torch._vmap_internals
import time:       602 |        602 |                                   torch.utils._contextlib
import time:      1152 |       1753 |                                 torch.autograd.grad_mode
import time:      1296 |       3049 |                               torch.autograd.forward_ad
import time:      1328 |       1328 |                               torch.autograd.functional
import time:       587 |        587 |                                 torch.autograd.variable
import time:      1607 |       2193 |                               torch.autograd.graph
import time:       555 |        555 |                               torch.autograd.anomaly_mode
import time:       519 |        519 |                                 torch._functorch
import time:       494 |        494 |                                       torch.utils._exposed_in
import time:       711 |       1204 |                                     torch._functorch.utils
import time:       628 |        628 |                                     torch._functorch.vmap
import time:      1186 |       3017 |                                   torch._functorch.apis
import time:      1033 |       1033 |                                     torch._functorch.pyfunctorch
import time:      1619 |       2651 |                                   torch._ops
import time:      2355 |       8023 |                                 torch._functorch.autograd_function
import time:      1247 |       9788 |                               torch.autograd.function
import time:       649 |        649 |                                   torch.testing._utils
import time:        64 |         64 |                                     cmath
import time:      1424 |       1488 |                                   torch.testing._comparison
import time:       709 |        709 |                                   torch.testing._creation
import time:      1660 |       4505 |                                 torch.testing
import time:      1237 |       5742 |                               torch.autograd.gradcheck
import time:       739 |        739 |                                   _uuid
import time:      1064 |       1802 |                                 uuid
import time:      1091 |       1091 |                                 torch.autograd.profiler_util
import time:      2435 |       5328 |                               torch.autograd.profiler
import time:      3670 |      77155 |                             torch.autograd
import time:        21 |      77176 |                           torch.autograd.function
import time:       948 |      78123 |                         torch.nn.modules._functions
import time:      1212 |      79334 |                       torch.nn.modules.batchnorm
import time:       537 |        537 |                       torch.nn.modules.channelshuffle
import time:      1511 |       1511 |                         torch.nn.common_types
import time:      1431 |       2942 |                       torch.nn.modules.conv
import time:       586 |        586 |                       torch.nn.modules.distance
import time:       590 |        590 |                       torch.nn.modules.dropout
import time:       612 |        612 |                       torch.nn.modules.flatten
import time:       549 |        549 |                       torch.nn.modules.fold
