import time: self [us] | cumulative | imported package
import time:       912 |        912 |                 numpy.lib.introspect
import time:       786 |        786 |                 numpy.lib.mixins
import time:       936 |        936 |                       numpy.lib._utils_impl
import time:      7669 |       8604 |                     numpy.lib.format
import time:       955 |        955 |                     numpy.lib._datasource
import time:      1341 |       1341 |                     numpy.lib._iotools
import time:     15582 |      26482 |                   numpy.lib._npyio_impl
import time:      9203 |      35684 |                 numpy.lib.npyio
import time:       739 |        739 |                       numpy.lib._ufunclike_impl
import time:      6911 |       7649 |                     numpy.lib._type_check_impl
import time:      7662 |      15310 |                   numpy.lib._scimath_impl
import time:     10251 |      25561 |                 numpy.lib.scimath
import time:       831 |        831 |                   numpy.lib._stride_tricks_impl
import time:      7417 |       8248 |                 numpy.lib.stride_tricks
import time:       803 |        803 |                         numpy.linalg.linalg
import time:      1076 |       1076 |                           numpy.lib._twodim_base_impl
import time:     13398 |      13398 |                           numpy.linalg._umath_linalg
import time:      1193 |       1193 |                             numpy._typing._nested_sequence
import time:       566 |        566 |                             numpy._typing._nbit
import time:      1409 |       1409 |                             numpy._typing._char_codes
import time:       924 |        924 |                             numpy._typing._scalars
import time:       593 |        593 |                             numpy._typing._shape
import time:      1869 |       1869 |                             numpy._typing._dtype_like
import time:      3449 |       3449 |                             numpy._typing._array_like
import time:     34561 |      44562 |                           numpy._typing
import time:     23312 |      82346 |                         numpy.linalg._linalg
import time:     17990 |     101138 |                       numpy.linalg
import time:      1250 |     102388 |                     numpy.matrixlib.defmatrix
import time:     12675 |     115063 |                   numpy.matrixlib
import time:       896 |        896 |                     numpy.lib._histograms_impl
import time:      8080 |       8975 |                   numpy.lib._function_base_impl
import time:     34088 |     158124 |                 numpy.lib._index_tricks_impl
import time:      1125 |       1125 |                 numpy.lib._nanfunctions_impl
import time:      8467 |       8467 |                 numpy.lib._shape_base_impl
import time:      1383 |       1383 |                 numpy.lib._arraysetops_impl
import time:      1205 |       1205 |                 numpy.lib._polynomial_impl
import time:       759 |        759 |                 numpy.lib._arrayterator_impl
import time:       842 |        842 |                 numpy.lib._arraypad_impl
import time:       754 |        754 |                 numpy.lib._version
import time:     20108 |     270608 |               numpy.lib
import time:     72668 |     677548 |             numpy
import time:      2717 |       2717 |               typing_extensions
import time:      2302 |       2302 |               torch._utils
import time:       855 |        855 |                   torch._strobelight
import time:        73 |         73 |                       gc
import time:       961 |       1034 |                     timeit
import time:      7544 |       8577 |                   torch._strobelight.cli_function_profiler
import time:      7926 |      17357 |                 torch._strobelight.compile_time_profiler
import time:      7265 |      24622 |               torch._utils_internal
import time:       577 |        577 |                     torch._vendor
import time:      1172 |       1748 |                   torch._vendor.packaging
import time:       729 |        729 |                   torch._vendor.packaging._structures
import time:      7552 |      10029 |                 torch._vendor.packaging.version
import time:       825 |        825 |                 torch.version
import time:     11896 |      22749 |               torch.torch_version
import time:     70460 |      70460 |               torch._C
import time:       814 |        814 |                 torch._namedtensor_internals
import time:      2434 |       2434 |                 torch.overrides
import time:      9147 |      12394 |               torch._tensor
import time:       947 |        947 |                 torch.types
import time:      1945 |       2892 |               torch.storage
import time:      1112 |       1112 |                 torch.amp.autocast_mode
import time:      1024 |       1024 |                 torch.amp.grad_scaler
import time:     13972 |      16108 |               torch.amp
import time:       976 |        976 |               torch.random
import time:        55 |         55 |                     _heapq
import time:       706 |        760 |                   heapq
import time:      8495 |       9255 |                 difflib
import time:       550 |        550 |                   pwd
import time:       515 |        515 |                   grp
import time:      1574 |       2638 |                 tarfile
import time:      1182 |       1182 |                 torch._weights_only_unpickler
import time:      1405 |       1405 |                 torch._sources
import time:     26405 |      40882 |               torch.serialization
import time:      7105 |       7105 |                 dataclasses
import time:      8742 |      15847 |               torch._tensor_str
import time:      1286 |       1286 |                 torch.cuda.gds
import time:      1038 |       1038 |                 torch.cuda._utils
import time:      1233 |       1233 |                 torch.cuda.graphs
import time:       978 |        978 |                 torch.cuda.streams
import time:       601 |        601 |                 pynvml
import time:      1036 |       1036 |                   torch.cuda._memory_viz
import time:      8530 |       9566 |                 torch.cuda.memory
import time:       959 |        959 |                 torch.cuda.random
import time:       928 |        928 |                   torch.cuda.amp.autocast_mode
import time:      6905 |       6905 |                   torch.cuda.amp.common
import time:       731 |        731 |                   torch.cuda.amp.grad_scaler
import time:     15180 |      23743 |                 torch.cuda.amp
import time:       876 |        876 |                 torch.cuda.jiterator
import time:       781 |        781 |                 torch.cuda.nvtx
import time:       741 |        741 |                 torch.cuda.profiler
import time:       560 |        560 |                 torch.cuda.sparse
import time:       790 |        790 |                     concurrent
import time:      1240 |       1240 |                     concurrent.futures._base
import time:      7366 |       9396 |                   concurrent.futures
import time:      6479 |       6479 |                       multiprocessing.process
import time:      1027 |       1027 |                       multiprocessing.reduction
import time:      5812 |      13316 |                     multiprocessing.context
import time:       937 |      14253 |                   multiprocessing
import time:      4375 |      28023 |                 torch.cuda.tunable
import time:     74156 |     144535 |               torch.cuda
import time:       734 |        734 |                   torch.sparse._semi_structured_conversions
import time:       788 |        788 |                   torch.sparse._semi_structured_ops
import time:     12662 |      14183 |                 torch.sparse.semi_structured
import time:      7734 |      21916 |               torch.sparse
import time:       849 |        849 |               torch._compile
import time:       776 |        776 |               torch._VF
import time:      1018 |       1018 |                     torch.nn.parameter
import time:      1657 |       1657 |                         torch._prims_common
import time:      1082 |       1082 |                             torch.utils.backcompat
import time:      1270 |       1270 |                             torch.utils.collect_env
import time:       818 |        818 |                                   _queue
import time:       781 |       1598 |                                 queue
import time:      7342 |       7342 |                                     cmd
import time:      1216 |       1216 |                                     bdb
import time:       871 |        871 |                                       codeop
import time:      6843 |       7713 |                                     code
import time:      1361 |       1361 |                                     pprint
import time:     40119 |      57750 |                                   pdb
import time:       880 |        880 |                                     torch.utils._typing_utils
import time:       963 |        963 |                                       torch.monitor
import time:       878 |        878 |                                         torch.distributed.logging_handlers
import time:      5075 |       5953 |                                       torch.distributed.c10d_logger
import time:       834 |        834 |                                       torch.distributed.constants
import time:      7051 |       7051 |                                       torch.distributed.rendezvous
import time:     23228 |      38027 |                                     torch.distributed.distributed_c10d
import time:     28927 |      67832 |                                   torch.distributed.device_mesh
import time:       943 |        943 |                                   torch.distributed.remote_device
import time:     29850 |     156373 |                                 torch.distributed
import time:       940 |        940 |                                                 torch.utils.data.datapipes._hook_iterator
